original_address,pfid,code,name,cid,google_address,full_name,lat,lng
"1827 Grant Street Unit, Denver CO",A100126871,F4000,"Polis, Jared",N00029127,"1827 Grant Street, Denver, CO 80203, USA",Rep. Jared Polis (CO),39.7455453,-104.9838396
"1004 Boston Blvd Rockledge, FL",B120034587,F4000,"Posey, Bill",N00029662,"Boston Way, Rockledge, FL 32955, USA",Rep. Bill Posey (FL),28.2226677,-80.6712015
"301 174th St #2217 Punta Cana, D.R.",O002105,F4000,"Rangel, Charles B",N00000964,"301 174th Street, Sunny Isles Beach, FL 33160, USA",Rep. Charles B Rangel (NY),25.9373049,-80.12982099999999
22.5% interest (held in part as trustee) in 2 parcels in Iron Co. UT.,P000516,F4000,"Reid, Harry",N00009922,"Iron County, UT, USA",Sen. Harry Reid (NV),37.7854715,-113.1918021
"744 Broad Street, Wadsworth, Ohio - real estate",A100102625,F4000,"Renacci, James B",N00031127,"744 Broad Street, Wadsworth, OH 44281, USA",Rep. James B Renacci (OH),41.025947,-81.706366
"50% 4809 Eastview Dr. New Orleans, LA 70126",N090000563,F4000,"Richmond, Cedric L",N00030184,"4809 Eastview Drive, New Orleans, LA 70126, USA",Rep. Cedric L Richmond (LA),30.021378,-89.99242699999999
123 E 13th St Anniston,A080075609,F4000,"Rogers, Mike",N00024759,"123 East 13th Street, Anniston, AL 36201, USA",Rep. Mike Rogers (AL),33.6613,-85.8274
"163 D Street, S.E. Washington, DC",A080071551,F4000,"Rohrabacher, Dana",N00007151,"163 D Street Southeast, Washington, DC 20003, USA",Rep. Dana Rohrabacher (CA),38.884859,-77.003886
3308 Cleveland Heights Lakeland FL,N090000796,F4000,"Ross, Dennis",N00030645,"3308 Cleveland Heights Boulevard, Lakeland, FL 33803, USA",Rep. Dennis Ross (FL),28.003531,-81.948279
"2414 W Augusta Dr, Peoria",A100100552,F4000,"Schock, Aaron",N00029273,"2414 West Augusta Drive, Dunlap, IL 61525, USA",Rep. Aaron Schock (IL),40.83852,-89.629644
"621 McLendon Street Ashburn, GA",C120009758,F4000,"Scott, Austin",N00032457,"621 McLendon Street, Ashburn, GA 31714, USA",Rep. Austin Scott (GA),31.712896,-83.653639
"690 9th Street, SW, Washington, DC",A100089429,F4000,"Shimkus, John M",N00004961,"690 9th Street Southwest, Washington, DC 20024, USA",Rep. John M Shimkus (IL),38.8815217,-77.0237916
